 0.101222945668836758E+00;   0.697210964108880038E+01;   0.101222945668836758E+00;   0.200039970784970073E+00;   
 0.106735573691840405E+00;   0.661304478917811167E+01;   0.106735573691840405E+00;   0.199961278424997557E+00;   
 0.113086683608846619E+00;   0.624371202225791766E+01;   0.113086683608846619E+00;   0.199932480339077873E+00;   
 0.118601912422497222E+00;   0.595132255889016637E+01;   0.118601912422497222E+00;   0.200060841055409527E+00;   
 0.124428083850549487E+00;   0.567518751723758097E+01;   0.124428083850549487E+00;   0.199925517359814786E+00;   
 0.130449878280314402E+00;   0.540965103424008475E+01;   0.130449878280314402E+00;   0.200014694713933711E+00;   
 0.136749465296137490E+00;   0.516125970059207084E+01;   0.136749465296137490E+00;   0.199969492670121374E+00;   
 0.141851695458907218E+00;   0.497545391809857040E+01;   0.141851695458907218E+00;   0.200049466608465842E+00;   
 0.148254146411056470E+00;   0.476001419637887935E+01;   0.148254146411056470E+00;   0.200019828949514589E+00;   
 0.154417533064038492E+00;   0.457310297125067500E+01;   0.154417533064038492E+00;   0.199924175905504597E+00;   
 0.162475137156261329E+00;   0.435126428336798288E+01;   0.162475137156261329E+00;   0.199868379340430308E+00;   
 0.167547947490763738E+00;   0.421266517353712278E+01;   0.167547947490763738E+00;   0.200058359111052270E+00;   
 0.172658460575804085E+00;   0.408964387339587798E+01;   0.172658460575804085E+00;   0.199929418027489730E+00;   
 0.178919298771316709E+00;   0.394439050581153472E+01;   0.178919298771316709E+00;   0.200037008293354190E+00;   
 0.184527491392386611E+00;   0.382518764497851604E+01;   0.184527491392386611E+00;   0.199960468766397503E+00;   
 0.190248643977326687E+00;   0.370959784377074842E+01;   0.190248643977326687E+00;   0.199981263189890790E+00;   
 0.195393155810899610E+00;   0.361166377713160358E+01;   0.195393155810899610E+00;   0.200022047465962804E+00;   
 0.202249831688509601E+00;   0.350599779239496856E+01;   0.202249831688509601E+00;   0.199778380629526631E+00;   
 0.208069485057961134E+00;   0.339209517328535748E+01;   0.208069485057961134E+00;   0.199971036254059459E+00;   
 0.214286044276168347E+00;   0.329462687499302476E+01;   0.214286044276168347E+00;   0.200081614673436714E+00;   
 0.220200154321943148E+00;   0.320484140667058481E+01;   0.220200154321943148E+00;   0.200029110969235924E+00;   
 0.226162150907728843E+00;   0.312084253091546193E+01;   0.226162150907728843E+00;   0.200057150669786354E+00;   
 0.233834891623771801E+00;   0.302230631073769551E+01;   0.233834891623771801E+00;   0.200140375553735983E+00;   
 0.239747375808030849E+00;   0.295014125962873974E+01;   0.239747375808030849E+00;   0.200171902012031361E+00;   
 0.246020797420632764E+00;   0.287169015793698623E+01;   0.246020797420632764E+00;   0.200125489697531106E+00;   
 0.252812668015122533E+00;   0.279248446073787582E+01;   0.252812668015122533E+00;   0.200079625096804881E+00;   
 0.257818708502474347E+00;   0.274348520108279770E+01;   0.257818708502474347E+00;   0.199850028905610877E+00;   
 0.263277264679404488E+00;   0.268334181840211272E+01;   0.263277264679404488E+00;   0.199900393938887450E+00;   
 0.268466478732084679E+00;   0.263589168783869576E+01;   0.268466478732084679E+00;   0.200189010092262726E+00;   
 0.274701100727816394E+00;   0.256918177288293448E+01;   0.274701100727816394E+00;   0.200045067707896818E+00;   
 0.280287223006082997E+00;   0.251781969501496006E+01;   0.280287223006082997E+00;   0.200031735538453270E+00;   
 0.285515001375221233E+00;   0.247453712109065993E+01;   0.285515001375221233E+00;   0.199896538302399229E+00;   
 0.291072534987561582E+00;   0.242470919985068889E+01;   0.291072534987561582E+00;   0.199976338949666071E+00;   
 0.299803631074622268E+00;   0.235515443735214403E+01;   0.299803631074622268E+00;   0.200091393049655508E+00;   
 0.306652111113204562E+00;   0.230605655000995213E+01;   0.306652111113204562E+00;   0.200165177594328142E+00;   
 0.312644728368047575E+00;   0.225716193227463346E+01;   0.312644728368047575E+00;   0.200006124253000295E+00;   
